resolution,building,n_points,start,end,missing_rate_raw,missing_rate_after,outliers_marked,empty_files,total_files,note,
1_hour,Commercial,26305,2016/1/1 0:00,2019/1/1 0:00,0.11317240068428056,0,3,88,1096,提示：检测到空/不可读文件 88/1096，已通过拼接后插值/季节性填补。,
1_hour,Office,26305,2016/1/1 0:00,2019/1/1 0:00,0.017791294430716593,0,10,9,1096,提示：检测到空/不可读文件 9/1096，已通过拼接后插值/季节性填补。,
1_hour,Public,26305,2016/1/1 0:00,2019/1/1 0:00,0.19988595324082875,0,0,200,1097,提示：检测到空/不可读文件 200/1097，已通过拼接后插值/季节性填补。,
1_hour,Residential,26305,2016/1/1 0:00,2019/1/1 0:00,0.03543052651587151,0,0,14,1096,提示：检测到空/不可读文件 14/1096，已通过拼接后插值/季节性填补。,
30_minutes,Commercial,52609,2016/1/1 0:00,2019/1/1 0:00,0.10530517592046988,0,8,88,1096,提示：检测到空/不可读文件 88/1096，已通过拼接后插值/季节性填补。,
30_minutes,Office,52609,2016/1/1 0:00,2019/1/1 0:00,0.016099906860042958,0,13,9,1096,提示：检测到空/不可读文件 9/1096，已通过拼接后插值/季节性填补。,
30_minutes,Public,52609,2016/1/1 0:00,2019/1/1 0:00,0.20218973939820184,0,0,200,1096,提示：检测到空/不可读文件 200/1096，已通过拼接后插值/季节性填补。,
30_minutes,Residential,52609,2016/1/1 0:00,2019/1/1 0:00,0.039555969510920184,0,0,14,1096,提示：检测到空/不可读文件 14/1096，已通过拼接后插值/季节性填补。,
5_minutes,Commercial,315649,2016/1/1 0:00,2019/1/1 0:00,0.10825632268754218,0,109,88,1096,提示：检测到空/不可读文件 88/1096，已通过拼接后插值/季节性填补。,
5_minutes,Office,315649,2016/1/1 0:00,2019/1/1 0:00,0.017044248516548444,0,43,9,1096,提示：检测到空/不可读文件 9/1096，已通过拼接后插值/季节性填补。,
5_minutes,Public,315649,2016/1/1 0:00,2019/1/1 0:00,0.20324474337000908,0,0,201,1096,提示：检测到空/不可读文件 201/1096，已通过拼接后插值/季节性填补。,
5_minutes,Residential,315649,2016/1/1 0:00,2019/1/1 0:00,0.042081552610652974,0,22,14,1096,提示：检测到空/不可读文件 14/1096，已通过拼接后插值/季节性填补。,
,,,,,,,,,,,
